Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS
155,1.27185E+14,1.27185E+14,16.772704,0,,,,,,
155,1.27185E+14,1.27186E+14,16.772095,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772821,0,,,,,,
155,1.27186E+14,1.27186E+14,16.771468,0,,,,,,
155,1.27186E+14,1.27186E+14,16.771592,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772589,0,,,,,,
155,1.27186E+14,1.27186E+14,16.771875,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772404,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772442,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772493,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772981,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772398,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772415,0,,,,,,
155,1.27186E+14,1.27186E+14,16.771732,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772005,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772795,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772855,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772678,0,,,,,,
155,1.27186E+14,1.27186E+14,16.771858,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772699,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772287,0,,,,,,
155,1.27186E+14,1.27186E+14,16.77175,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772126,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772992,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772622,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772072,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772547,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772438,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772178,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772921,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772612,0,,,,,,
155,1.27186E+14,1.27186E+14,16.772805,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772335,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772983,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772469,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772171,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771911,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772121,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772169,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772903,0,,,,,,
156,1.27186E+14,1.27186E+14,16.77246,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772768,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772739,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772745,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772686,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772953,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772425,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771962,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772004,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771917,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771441,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772295,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771939,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772727,0,,,,,,
156,1.27186E+14,1.27186E+14,16.77262,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772344,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772538,0,,,,,,
156,1.27186E+14,1.27186E+14,16.772516,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771768,0,,,,,,
156,1.27186E+14,1.27186E+14,16.771607,0,,,,,,
156,1.27186E+14,1.27187E+14,16.772313,0,,,,,,
156,1.27187E+14,1.27187E+14,16.771357,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772283,0,,,,,,
156,1.27187E+14,1.27187E+14,16.773019,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772673,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772438,0,,,,,,
156,1.27187E+14,1.27187E+14,16.770859,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772992,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772483,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772853,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772724,0,,,,,,
156,1.27187E+14,1.27187E+14,16.773068,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772637,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772859,0,,,,,,
156,1.27187E+14,1.27187E+14,16.77245,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772804,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772842,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772527,0,,,,,,
156,1.27187E+14,1.27187E+14,16.772361,0,,,,,,
