Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
33,186898293825526,186898369738398,75.912872,186898369842669,186898428393977,58.551308,roses,0.46095714
34,186898459932209,186898548992791,89.060582,186898549083468,186898612248370,63.164902,daisy,0.44026154
34,186898626806444,186898703646608,76.840164,186898703734577,186898763355104,59.620527,roses,0.44097382
34,186898793350680,186898881747251,88.396571,186898881884178,186898944038716,62.154538,roses,0.49265766
34,186898959886009,186899036608725,76.722716,186899036680496,186899090591438,53.910942,roses,0.4352546
34,186899094109928,186899169752436,75.642508,186899169847280,186899226392546,56.545266,roses,0.47799748
34,186899227238796,186899301870626,74.63183,186899301961095,186899368488810,66.527715,roses,0.47563672
35,186899393674229,186899471614706,77.940477,186899471701424,186899531262837,59.561413,roses,0.46309236
35,186899559668308,186899637631180,77.962872,186899637714983,186899699425770,61.710787,roses,0.51361555
35,186899726667544,186899810220000,83.552456,186899810305104,186899869588443,59.283339,roses,0.49618995
35,186899892995216,186899971808922,78.813706,186899971894860,186900036256793,64.361933,roses,0.48437065
35,186900059770337,186900135834147,76.06381,186900135921438,186900193564778,57.64334,roses,0.5046828
35,186900226004156,186900311156456,85.1523,186900311224008,186900383079119,71.855111,roses,0.5502916
36,186900392838599,186900469950743,77.112144,186900470102513,186900535888405,65.785892,roses,0.48964533
36,186900559499866,186900634265238,74.765372,186900634350759,186900701351286,67.000527,roses,0.44961384
36,186900727461706,186900807525516,80.06381,186900807634005,186900870211460,62.577455,daisy,0.44538745
36,186900892761722,186900972079647,79.317925,186900972178188,186901035341632,63.163444,roses,0.43401486
36,186901061252833,186901136982267,75.729434,186901137067476,186901190803210,53.735734,daisy,0.41809645
36,186901193896440,186901271751447,77.855007,186901271836239,186901327032026,55.195787,roses,0.56526846
37,186901359284321,186901445760111,86.47579,186901445859225,186901508539440,62.680215,roses,0.4368419
37,186901525505431,186901602604970,77.099539,186901602686012,186901664201851,61.515839,daisy,0.45720246
37,186901692683416,186901781823113,89.139697,186901781902071,186901841574577,59.672506,daisy,0.42165506
37,186901859234631,186901943633910,84.399279,186901943722921,186901994148499,50.425578,roses,0.5068164
37,186902025268189,186902102971426,77.703237,186902103053405,186902163419609,60.366204,roses,0.4816495
37,186902192323518,186902280509517,88.185999,186902280607746,186902336019574,55.411828,roses,0.50004965
38,186902359517389,186902438757397,79.240008,186902438834324,186902492055475,53.221151,roses,0.50475585
38,186902493926153,186902569865379,75.939226,186902569949962,186902631164395,61.214433,roses,0.43871206
38,186902658564033,186902741782323,83.21829,186902741874042,186902804733111,62.859069,daisy,0.4354368
38,186902824959935,186902906888069,81.928134,186902906960829,186902969286200,62.325371,roses,0.46352708
38,186902992154952,186903071645220,79.490268,186903071732043,186903135798404,64.066361,roses,0.47216383
38,186903158084604,186903241431175,83.346571,186903241515289,186903303225452,61.710163,roses,0.43965834
39,186903326009881,186903408168483,82.158602,186903408263692,186903472127552,63.86386,roses,0.42560744
39,186903491190366,186903566867353,75.676987,186903566957822,186903633463610,66.505788,roses,0.43314642
39,186903657861789,186903737194766,79.332977,186903737281485,186903802704304,65.422819,roses,0.46210146
39,186903825327639,186903910359575,85.031936,186903910446606,186903972539008,62.092402,roses,0.4680842
39,186903990979062,186904066135788,75.156726,186904066270840,186904127423971,61.153131,roses,0.4450997
39,186904157692464,186904246702681,89.010217,186904246793410,186904307793781,61.000371,daisy,0.47278088
40,186904324577585,186904401924988,77.347403,186904402072905,186904456400411,54.327506,daisy,0.4434013
40,186904458417859,186904534047085,75.629226,186904534139168,186904590404955,56.265787,roses,0.441333
40,186904624315636,186904710863821,86.548185,186904711096582,186904771813827,60.717245,roses,0.50578094
40,186904791712788,186904870030139,78.317351,186904870140973,186904927854051,57.713078,roses,0.47334805
40,186904957579263,186905037493645,79.914382,186905037614218,186905092176984,54.562766,roses,0.48843583
40,186905124193758,186905202851162,78.657404,186905202933766,186905261712834,58.779068,roses,0.517858
40,186905291287212,186905382479097,91.191885,186905382564826,186905434993008,52.428182,roses,0.44674063
41,186905457215719,186905536744685,79.528966,186905536842706,186905597036410,60.193704,daisy,0.40560648
41,186905625073339,186905707359077,82.285738,186905707441629,186905771863562,64.421933,daisy,0.48900488
41,186905790772054,186905867992947,77.220893,186905868080603,186905928251182,60.170579,roses,0.44161195
41,186905959088633,186906046279371,87.190738,186906046378017,186906103329220,56.951203,roses,0.5786658
41,186906124545577,186906206097564,81.551987,186906206184022,186906270499289,64.315267,roses,0.5130433
42,186906290142572,186906372210081,82.067509,186906372288778,186906435751441,63.462663,roses,0.6034231
42,186906456542797,186906536908066,80.365269,186906536992024,186906593483853,56.491829,roses,0.6038826
42,186906623369220,186906704541884,81.172664,186906704643134,186906761650901,57.007767,roses,0.57362634
42,186906790218872,186906881677788,91.458916,186906881768985,186906948904148,67.135163,roses,0.48779082
42,186906956894253,186907032959521,76.065268,186907033049678,186907089822965,56.773287,roses,0.518439
42,186907091016090,186907170406514,79.390424,186907170498441,186907231313552,60.815111,roses,0.44639
42,186907256664908,186907331938978,75.27407,186907332030905,186907391220703,59.189798,roses,0.52102375
43,186907422916696,186907507093631,84.176935,186907507187850,186907573676815,66.488965,roses,0.4581018
43,186907590002441,186907664091199,74.088758,186907664188022,186907733180893,68.992871,roses,0.500149
43,186907756425843,186907837149393,80.72355,186907837240070,186907894619347,57.379277,roses,0.5197382
43,186907923557266,186908005772066,82.2148,186908005860295,186908069424520,63.564225,roses,0.5539201
43,186908089765304,186908169289895,79.524591,186908169784478,186908235030006,65.245528,roses,0.45478666
43,186908256096935,186908338114339,82.017404,186908338201631,186908398651532,60.449901,roses,0.49445996
44,186908424161170,186908503524668,79.363498,186908503601491,186908562891653,59.290162,roses,0.45510873
44,186908589935249,186908667511299,77.57605,186908667603174,186908734030003,66.426829,roses,0.57366407
44,186908756014745,186908834235638,78.220893,186908834330742,186908895186999,60.856257,roses,0.57153726
44,186908922214814,186909002624093,80.409279,186909002724822,186909066980557,64.255735,roses,0.64126223
44,186909089422747,186909167449109,78.026362,186909167570203,186909231011094,63.440891,roses,0.6024056
44,186909256200680,186909337415636,81.214956,186909337504282,186909398556007,61.051725,roses,0.49710983
45,186909422139655,186909509109091,86.969436,186909509194091,186909575005556,65.811465,roses,0.62620986
45,186909588726286,186909664561971,75.835685,186909664652909,186909731703228,67.050319,roses,0.63990825
45,186909755220834,186909837216155,81.995321,186909837309019,186909889585066,52.276047,roses,0.5194245
45,186909921759236,186910003474505,81.715269,186910003566015,186910070924355,67.35834,roses,0.5149194
45,186910088437117,186910164600042,76.162925,186910164692333,186910235130413,70.43808,roses,0.5450111
45,186910255175155,186910333094642,77.919487,186910333206986,186910391828398,58.621412,tulips,0.44007844
46,186910422206890,186910504072992,81.866102,186910504170336,186910572778936,68.6086,roses,0.6025848
46,186910588515501,186910665637175,77.121674,186910666029935,186910733916192,67.886257,roses,0.54627377
46,186910755010778,186910832324535,77.313757,186910832405369,186910890433916,58.028547,roses,0.50338125
46,186910922873451,186911006539292,83.665841,186911006625646,186911069967007,63.341361,roses,0.46292958
46,186911088423884,186911169243163,80.819279,186911169326548,186911230034471,60.707923,roses,0.56773055
46,186911254976400,186911334351564,79.375164,186911334437242,186911388843080,54.405838,roses,0.55649877
47,186911422270063,186911502852206,80.582143,186911502931633,186911564474660,61.543027,roses,0.5257706
47,186911587891225,186911669188525,81.2973,186911669275608,186911732367594,63.091986,roses,0.5653408
47,186911754753898,186911834566875,79.812977,186911834654687,186911891284745,56.630058,roses,0.5280104
47,186911921369435,186912002918194,81.548759,186912003016475,186912059060907,56.044432,roses,0.50166255
47,186912087557004,186912164790397,77.233393,186912164877741,186912234515404,69.637663,daisy,0.48659587
47,186912254122385,186912333115310,78.992925,186912333226039,186912391671514,58.445475,roses,0.55612355
48,186912420788079,186912502188764,81.400685,186912502274597,186912568226739,65.952142,daisy,0.51352936
48,186912587328356,186912665128103,77.799747,186912665220916,186912723009411,57.788495,roses,0.57150096
48,186912754304727,186912834403485,80.098758,186912834492756,186912895182397,60.689641,roses,0.49369624
48,186912920605056,186912997345480,76.740424,186912997428449,186913064854081,67.425632,roses,0.48224077
48,186913087552312,186913167053622,79.50131,186913167141903,186913229219462,62.077559,roses,0.5544169
48,186913254344829,186913339026139,84.68131,186913339118743,186913398057239,58.938496,roses,0.53998387
49,186913420563335,186913502939853,82.376518,186913503031103,186913565977203,62.9461,roses,0.57352704
49,186913587599081,186913663911849,76.312768,186913664384974,186913729005553,64.620579,roses,0.52532583
49,186913753954514,186913834561241,80.606727,186913834646397,186913892607340,57.960943,roses,0.5539283
49,186913921196614,186913999906413,78.709799,186913999984382,186914063935795,63.951413,daisy,0.4234549
49,186914087312203,186914167566378,80.254175,186914167644086,186914229887061,62.242975,roses,0.46577296
49,186914253868470,186914333303478,79.435008,186914333393634,186914395197755,61.804121,roses,0.550043
50,186914420773382,186914503246568,82.473186,186914503325995,186914569265845,65.93985,daisy,0.47280428
