Record, Frame Rate,,,,,,,,Min FPS,Max FPS,Avg FPS
552,59.63219,,,,,,,,,,
553,59.63218,,,,,,,,,,
554,59.57433,,,,,,,,,,
555,59.61716,,,,,,,,,,
556,59.6175,,,,,,,,,,
557,59.6164,,,,,,,,,,
558,59.6707,,,,,,,,,,
559,59.62877,,,,,,,,,,
560,59.62746,,,,,,,,,,
561,59.62913,,,,,,,,,,
562,59.62836,,,,,,,,,,
563,59.62753,,,,,,,,,,
564,59.62885,,,,,,,,,,
565,59.62741,,,,,,,,,,
566,59.62837,,,,,,,,,,
567,59.62782,,,,,,,,,,
568,59.62816,,,,,,,,,,
569,59.62868,,,,,,,,,,
570,59.62875,,,,,,,,,,
571,59.62837,,,,,,,,,,
572,59.62856,,,,,,,,,,
573,59.62894,,,,,,,,,,
574,59.62839,,,,,,,,,,
575,59.62878,,,,,,,,,,
576,59.62786,,,,,,,,,,
577,59.62849,,,,,,,,,,
