Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,,Time (sec),FPS
1,2.13154E+13,2.13154E+13,16.750649,0,,,48,59
1,2.13154E+13,2.13155E+13,16.750702,0,,,49,60
1,2.13155E+13,2.13155E+13,16.750858,0,,,50,60
1,2.13155E+13,2.13155E+13,16.750852,0,,,51,59
1,2.13155E+13,2.13155E+13,16.750843,0,,,52,60
1,2.13155E+13,2.13155E+13,16.750783,0,,,53,60
1,2.13155E+13,2.13155E+13,16.750779,0,,,54,59
1,2.13155E+13,2.13156E+13,16.75082,0,,,55,60
1,2.13156E+13,2.13156E+13,16.75072,0,,,56,60
1,2.13156E+13,2.13156E+13,16.750645,0,,,57,59
1,2.13156E+13,2.13156E+13,16.750661,0,,,58,60
1,2.13156E+13,2.13156E+13,16.750651,0,,,59,60
1,2.13156E+13,2.13156E+13,16.750813,0,,,60,60
1,2.13156E+13,2.13157E+13,16.750834,0,,,61,59
1,2.13157E+13,2.13157E+13,16.750838,0,,,62,60
1,2.13157E+13,2.13157E+13,16.750736,0,,,63,60
1,2.13157E+13,2.13157E+13,16.750743,0,,,64,59
1,2.13157E+13,2.13157E+13,16.750771,0,,,65,60
1,2.13157E+13,2.13157E+13,16.750728,0,,,66,60
1,2.13157E+13,2.13158E+13,16.750671,0,,,67,59
1,2.13158E+13,2.13158E+13,16.750795,0,,,68,60
1,2.13158E+13,2.13158E+13,16.750502,0,,,69,60
1,2.13158E+13,2.13158E+13,16.750533,0,,,70,59
1,2.13158E+13,2.13158E+13,16.750733,0,,,71,60
1,2.13158E+13,2.13158E+13,16.750833,0,,,72,60
1,2.13158E+13,2.13159E+13,16.750749,0,,,73,60
1,2.13159E+13,2.13159E+13,16.750737,0,,,74,59
1,2.13159E+13,2.13159E+13,16.750599,0,,,75,60
1,2.13159E+13,2.13159E+13,16.750452,0,,,76,60
1,2.13159E+13,2.13159E+13,16.750385,0,,,77,59
1,2.13159E+13,2.13159E+13,16.750683,0,,,78,60
1,2.13159E+13,2.1316E+13,16.750677,0,,,79,60
1,2.1316E+13,2.1316E+13,16.75061,0,,,80,59
1,2.1316E+13,2.1316E+13,16.750556,0,,,81,60
1,2.1316E+13,2.1316E+13,16.750132,0,,,82,60
1,2.1316E+13,2.1316E+13,16.750562,0,,,83,59
1,2.1316E+13,2.1316E+13,16.750526,0,,,84,60
1,2.1316E+13,2.13161E+13,16.750496,0,,,85,60
1,2.13161E+13,2.13161E+13,16.750598,0,,,86,59
1,2.13161E+13,2.13161E+13,16.750689,0,,,87,60
1,2.13161E+13,2.13161E+13,16.750611,0,,,88,60
1,2.13161E+13,2.13161E+13,16.750508,0,,,89,60
1,2.13161E+13,2.13161E+13,16.750611,0,,,90,59
1,2.13161E+13,2.13162E+13,16.750402,0,,,91,60
1,2.13162E+13,2.13162E+13,16.750367,0,,,92,60
1,2.13162E+13,2.13162E+13,16.750921,0,,,93,59
1,2.13162E+13,2.13162E+13,16.750615,0,,,94,60
1,2.13162E+13,2.13162E+13,16.750744,0,,,95,60
1,2.13162E+13,2.13162E+13,16.750415,0,,,96,59
1,2.13162E+13,2.13163E+13,16.749596,0,,,97,60
1,2.13163E+13,2.13163E+13,16.750588,0,,,98,60
1,2.13163E+13,2.13163E+13,16.750661,0,,,99,60
1,2.13163E+13,2.13163E+13,16.750434,0,,,100,59
