T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,2980,45,1,,,,46
,3000,35,2,,,,37
,3018,47,1,,,,48
,3038,39,0,,,,39
,3057,42,1,,,,43
,3077,45,1,,,,46
,3095,42,1,,,,43
,3111,74,1,,,,75
,3128,74,2,,,,76
,3146,40,0,,,,40
,3167,42,1,,,,43
,3185,65,0,,,,65
,3200,58,0,,,,58
,3218,65,1,,,,66
,3234,51,1,,,,52
,3250,85,0,,,,85
,3268,44,0,,,,44
,3286,47,2,,,,49
,3304,66,2,,,,68
,3322,44,1,,,,45
,3338,88,0,,,,88
,3353,54,1,,,,55
,3370,43,0,,,,43
,3387,46,0,,,,46
,3405,63,0,,,,63
,3423,45,1,,,,46
,3440,65,0,,,,65
,3458,47,0,,,,47
,3475,57,2,,,,59
,3491,43,0,,,,43
,3508,51,0,,,,51
,3525,50,0,,,,50
,3541,51,0,,,,51
,3559,58,0,,,,58
,3576,47,1,,,,48
,3593,53,1,,,,54
,3612,52,2,,,,54
,3629,59,1,,,,60
,3645,52,1,,,,53
,3664,46,0,,,,46
,3682,57,0,,,,57
,3701,57,1,,,,58
,3721,36,4,,,,40
,3740,38,4,,,,42
,3760,37,2,,,,39
,3781,38,4,,,,42
,3801,41,0,,,,41
,3820,39,1,,,,40
,3838,40,1,,,,41
,3858,42,0,,,,42
,3879,38,0,,,,38
,3897,65,0,,,,65
,3916,44,1,,,,45
,3937,53,1,,,,54
,3958,38,0,,,,38
,3977,45,1,,,,46
,3995,45,1,,,,46
,4013,74,0,,,,74
,4031,66,0,,,,66
,4049,82,2,,,,84
,4069,51,1,,,,52
,4087,52,1,,,,53
,4103,83,0,,,,83
,4121,45,0,,,,45
,4140,59,5,,,,64
,4158,49,1,,,,50
,4175,54,0,,,,54
,4193,45,6,,,,51
,4209,48,0,,,,48
,4226,53,2,,,,55
,4243,54,1,,,,55
,4260,57,3,,,,60
,4277,49,0,,,,49
,4294,49,0,,,,49
,4311,44,1,,,,45
,4330,46,0,,,,46
,4346,87,2,,,,89
,4362,63,0,,,,63
,4381,54,0,,,,54
,4399,45,1,,,,46
,4418,54,0,,,,54
,4435,100,0,,,,100
,4453,45,6,,,,51
,4470,81,1,,,,82
,4487,61,1,,,,62
,4504,74,0,,,,74
,4522,48,1,,,,49
,4540,46,1,,,,47
,4558,39,0,,,,39
,4578,45,0,,,,45
,4598,47,2,,,,49
,4615,59,0,,,,59
,4635,72,2,,,,74
,4654,44,1,,,,45
,4673,80,0,,,,80
,4691,40,1,,,,41
,4710,74,0,,,,74
,4731,39,4,,,,43
,4750,37,1,,,,38
,4773,39,0,,,,39
,4794,48,1,,,,49
,4815,40,5,,,,45
,4834,38,0,,,,38
,4854,39,1,,,,40
,4873,42,2,,,,44
,4893,33,5,,,,38
,4912,60,0,,,,60
,4932,40,1,,,,41
,4950,39,2,,,,41
,4970,44,5,,,,49
,4987,46,0,,,,46
,5004,45,1,,,,46
,5021,46,1,,,,47
,5037,71,1,,,,72
,5054,60,1,,,,61
,5071,75,1,,,,76
,5088,79,0,,,,79
,5107,40,1,,,,41
,5125,45,1,,,,46
,5144,49,0,,,,49
,5160,49,1,,,,50
,5178,53,1,,,,54
,5196,46,0,,,,46
,5212,65,1,,,,66
,5229,52,1,,,,53
,5246,46,0,,,,46
,5264,44,1,,,,45
,5280,48,2,,,,50
,5298,53,1,,,,54
,5314,88,2,,,,90
,5331,61,0,,,,61
,5348,49,1,,,,50
,5363,44,1,,,,45
,5381,67,0,,,,67
,5400,49,0,,,,49
,5419,61,2,,,,63
,5436,63,0,,,,63
,5453,48,0,,,,48
,5469,68,1,,,,69
,5489,46,0,,,,46
,5508,45,1,,,,46
,5526,86,1,,,,87
,5545,88,1,,,,89
,5563,46,5,,,,51
,5574,54,0,,,,54
