Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
100,498,3731608,3457796,273812,163960,0.92662359,800,284,0.355,50,0.0625
101,503,3731608,3459480,272128,163960,0.92707487,800,306,0.3825,50,0.0625
102,508,3731608,3454196,277412,163960,0.925658858,800,284,0.355,63,0.07875
103,513,3731608,3455648,275960,163960,0.926047966,800,275,0.34375,63,0.07875
104,518,3731608,3460148,271460,163964,0.927253881,800,294,0.3675,53,0.06625
105,523,3731608,3462536,269072,163964,0.92789382,800,306,0.3825,52,0.065
106,528,3731608,3463764,267844,163964,0.9282229,800,352,0.44,58,0.0725
107,533,3731608,3464544,267064,163964,0.928431925,800,255,0.31875,58,0.0725
108,538,3731608,3464832,266776,163964,0.928509104,800,284,0.355,50,0.0625
109,543,3731608,3462048,269560,163964,0.927763045,800,278,0.3475,69,0.08625
110,548,3731608,3467780,263828,163964,0.929299112,800,284,0.355,47,0.05875
111,553,3731608,3468952,262656,163964,0.929613186,800,355,0.44375,55,0.06875
112,558,3731608,3466736,264872,163964,0.92901934,800,238,0.2975,59,0.07375
113,563,3731608,3467004,264604,163964,0.929091159,800,285,0.35625,55,0.06875
114,568,3731608,3466180,265428,163964,0.928870342,800,291,0.36375,47,0.05875
115,573,3731608,3468192,263416,163964,0.92940952,800,269,0.33625,59,0.07375
116,578,3731608,3462108,269500,163964,0.927779124,800,323,0.40375,58,0.0725
117,583,3731608,3467816,263792,163968,0.929308759,800,261,0.32625,55,0.06875
118,588,3731608,3461520,270088,163968,0.927621551,800,272,0.34,69,0.08625
119,593,3731608,3464736,266872,163968,0.928483378,800,247,0.30875,69,0.08625
120,598,3731608,3462100,269508,163968,0.92777698,800,313,0.39125,48,0.06
121,603,3731608,3464496,267112,163968,0.928419062,800,316,0.395,61,0.07625
122,608,3731608,3462068,269540,163968,0.927768404,800,300,0.375,61,0.07625
123,614,3731608,3463652,267956,163968,0.928192886,800,272,0.34,56,0.07
124,619,3731608,3461300,270308,163968,0.927562595,800,247,0.30875,50,0.0625
125,624,3731608,3455728,275880,163968,0.926069405,800,284,0.355,58,0.0725
126,629,3731608,3457824,273784,163968,0.926631093,800,256,0.32,59,0.07375
127,634,3731608,3451892,279716,163968,0.92504143,800,344,0.43,56,0.07
128,639,3731608,3456300,275308,163968,0.92622269,800,316,0.395,68,0.085
129,644,3731608,3449820,281788,163968,0.924486173,800,256,0.32,47,0.05875
130,649,3731608,3454136,277472,163968,0.925642779,800,247,0.30875,63,0.07875
131,654,3731608,3456244,275364,163968,0.926207683,800,322,0.4025,63,0.07875
132,659,3731608,3452796,278812,163968,0.925283685,800,291,0.36375,48,0.06
133,664,3731608,3449908,281700,163968,0.924509756,800,255,0.31875,42,0.0525
134,669,3731608,3451340,280268,163968,0.924893504,800,278,0.3475,44,0.055
135,674,3731608,3456296,275312,163968,0.926221618,800,275,0.34375,59,0.07375
136,679,3731608,3450184,281424,163968,0.924583718,800,235,0.29375,41,0.05125
137,684,3731608,3453444,278164,163968,0.925457336,800,319,0.39875,56,0.07
138,689,3731608,3450356,281252,163968,0.924629811,800,334,0.4175,53,0.06625
139,694,3731608,3452556,279052,163968,0.925219369,800,259,0.32375,63,0.07875
140,699,3731608,3456212,275396,163968,0.926199108,800,294,0.3675,56,0.07
141,704,3731608,3452508,279100,163968,0.925206506,800,300,0.375,63,0.07875
142,709,3731608,3457304,274304,163968,0.926491743,800,270,0.3375,64,0.08
143,714,3731608,3454324,277284,163968,0.92569316,800,244,0.305,66,0.0825
144,719,3731608,3456600,275008,163968,0.926303084,800,261,0.32625,67,0.08375
145,724,3731608,3459528,272080,163968,0.927087733,800,294,0.3675,47,0.05875
146,729,3731608,3455256,276352,163968,0.925942918,800,269,0.33625,41,0.05125
147,734,3731608,3458872,272736,163968,0.926911937,800,264,0.33,45,0.05625
148,739,3731608,3456952,274656,163968,0.926397414,800,297,0.37125,59,0.07375
149,744,3731608,3456556,275052,163968,0.926291293,800,285,0.35625,52,0.065
150,749,3731608,3454820,276788,163968,0.925826078,800,261,0.32625,48,0.06
151,754,3731608,3456352,275256,163968,0.926236625,800,245,0.30625,58,0.0725
152,759,3731608,3453768,277840,163968,0.925544162,800,316,0.395,48,0.06
153,764,3731608,3458356,273252,163968,0.926773659,800,259,0.32375,63,0.07875
154,769,3731608,3454808,276800,163968,0.925822862,800,281,0.35125,47,0.05875
155,774,3731608,3458444,273164,163968,0.926797241,800,278,0.3475,63,0.07875
156,779,3731608,3454812,276796,163968,0.925823934,800,288,0.36,53,0.06625
157,784,3731608,3458756,272852,163968,0.926880851,800,300,0.375,66,0.0825
158,789,3731608,3454916,276692,163968,0.925851804,800,275,0.34375,53,0.06625
