T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,989,15,154,,,,169
,993,22,169,,,,191
,999,14,157,,,,171
,1004,18,181,,,,199
,1009,16,186,,,,202
,1014,44,151,,,,195
,1019,20,167,,,,187
,1024,17,158,,,,175
,1029,23,151,,,,174
,1034,23,152,,,,175
,1039,16,167,,,,183
,1044,31,178,,,,209
,1048,32,150,,,,182
,1054,14,145,,,,159
,1059,15,149,,,,164
,1064,32,150,,,,182
,1069,20,153,,,,173
,1074,43,154,,,,197
,1078,29,211,,,,240
,1083,23,165,,,,188
,1087,17,161,,,,178
,1092,18,170,,,,188
,1097,24,173,,,,197
,1101,20,170,,,,190
,1106,35,174,,,,209
,1110,47,171,,,,218
,1115,18,176,,,,194
,1119,21,166,,,,187
,1124,33,174,,,,207
,1129,26,171,,,,197
,1133,20,164,,,,184
,1138,34,172,,,,206
,1142,35,171,,,,206
,1147,18,170,,,,188
,1152,17,171,,,,188
,1156,35,172,,,,207
,1161,20,168,,,,188
,1166,17,167,,,,184
,1170,29,181,,,,210
,1175,19,169,,,,188
,1179,16,175,,,,191
,1184,18,192,,,,210
,1188,17,170,,,,187
,1193,18,166,,,,184
,1198,18,174,,,,192
,1202,32,168,,,,200
,1207,16,176,,,,192
,1212,34,172,,,,206
,1216,17,169,,,,186
,1220,35,177,,,,212
,1225,28,169,,,,197
,1230,23,169,,,,192
,1234,19,177,,,,196
,1239,25,179,,,,204
,1243,23,170,,,,193
,1248,42,170,,,,212
,1252,18,165,,,,183
,1257,19,201,,,,220
,1261,23,170,,,,193
,1266,18,180,,,,198
,1270,20,182,,,,202
,1275,43,173,,,,216
,1279,34,186,,,,220
,1284,16,169,,,,185
,1288,18,171,,,,189
,1293,30,171,,,,201
,1298,33,175,,,,208
,1302,30,170,,,,200
,1307,27,178,,,,205
,1311,17,186,,,,203
,1316,18,186,,,,204
,1320,28,166,,,,194
,1325,19,168,,,,187
,1329,18,190,,,,208
,1334,38,177,,,,215
,1338,37,190,,,,227
,1343,17,174,,,,191
,1347,17,191,,,,208
,1352,17,179,,,,196
,1356,24,214,,,,238
,1361,20,171,,,,191
,1366,17,177,,,,194
,1370,41,179,,,,220
,1374,29,196,,,,225
,1379,33,180,,,,213
,1383,19,174,,,,193
,1387,23,174,,,,197
,1392,16,178,,,,194
,1396,34,178,,,,212
,1401,29,185,,,,214
,1405,30,190,,,,220
,1409,19,178,,,,197
,1414,29,173,,,,202
,1419,34,167,,,,201
,1423,17,187,,,,204
,1428,18,177,,,,195
,1432,31,174,,,,205
,1437,35,175,,,,210
,1442,18,174,,,,192
,1446,33,174,,,,207
,1451,28,189,,,,217
,1455,19,174,,,,193
,1460,18,176,,,,194
,1465,18,181,,,,199
,1469,17,173,,,,190
,1473,23,188,,,,211
