T,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,2598,51,0,,,,51
,2615,60,0,,,,60
,2632,47,0,,,,47
,2652,57,1,,,,58
,2671,59,1,,,,60
,2691,43,3,,,,46
,2711,39,1,,,,40
,2730,41,1,,,,42
,2747,40,0,,,,40
,2772,41,0,,,,41
,2794,58,1,,,,59
,2816,43,0,,,,43
,2838,38,3,,,,41
,2858,44,1,,,,45
,2877,44,5,,,,49
,2897,46,0,,,,46
,2914,42,2,,,,44
,2934,44,1,,,,45
,2952,67,0,,,,67
,2969,44,1,,,,45
,2988,48,1,,,,49
,3005,62,2,,,,64
,3020,59,0,,,,59
,3035,100,0,,,,100
,3053,67,0,,,,67
,3068,96,1,,,,97
,3085,45,1,,,,46
,3102,88,0,,,,88
,3120,83,1,,,,84
,3139,43,1,,,,44
,3158,45,0,,,,45
,3175,43,0,,,,43
,3192,46,0,,,,46
,3209,52,0,,,,52
,3227,50,0,,,,50
,3245,46,0,,,,46
,3262,55,0,,,,55
,3281,57,0,,,,57
,3300,45,0,,,,45
,3317,57,3,,,,60
,3334,54,1,,,,55
,3352,71,2,,,,73
,3369,50,0,,,,50
,3387,43,5,,,,48
,3404,53,0,,,,53
,3419,72,1,,,,73
,3437,87,0,,,,87
,3455,53,1,,,,54
,3474,45,1,,,,46
,3493,46,0,,,,46
,3511,45,0,,,,45
,3528,47,1,,,,48
,3545,44,2,,,,46
,3563,45,1,,,,46
,3581,43,1,,,,44
,3597,42,6,,,,48
,3617,42,4,,,,46
,3636,38,0,,,,38
,3654,43,3,,,,46
,3673,42,2,,,,44
,3691,40,1,,,,41
,3710,39,1,,,,40
,3729,46,1,,,,47
,3750,36,0,,,,36
,3771,37,0,,,,37
,3793,38,0,,,,38
,3816,38,1,,,,39
,3837,42,1,,,,43
,3859,50,1,,,,51
,3879,62,2,,,,64
,3899,66,0,,,,66
,3917,41,1,,,,42
,3935,45,0,,,,45
,3952,49,1,,,,50
,3970,44,0,,,,44
,3989,46,0,,,,46
,4009,43,5,,,,48
,4028,41,0,,,,41
,4043,84,1,,,,85
,4062,67,2,,,,69
,4081,73,1,,,,74
,4097,72,3,,,,75
,4114,73,1,,,,74
,4131,91,0,,,,91
,4148,89,2,,,,91
,4165,53,1,,,,54
,4184,41,6,,,,47
,4202,58,0,,,,58
,4220,47,1,,,,48
,4237,49,1,,,,50
,4254,59,1,,,,60
,4273,62,1,,,,63
,4289,51,0,,,,51
,4307,56,1,,,,57
,4323,82,0,,,,82
,4340,55,0,,,,55
,4355,52,1,,,,53
,4370,84,1,,,,85
,4388,51,0,,,,51
,4406,48,0,,,,48
,4423,46,7,,,,53
,4441,49,1,,,,50
,4461,49,0,,,,49
,4478,48,1,,,,49
,4494,56,0,,,,56
,4510,60,0,,,,60
,4526,51,1,,,,52
,4543,57,1,,,,58
,4560,72,1,,,,73
,4577,45,0,,,,45
,4595,45,1,,,,46
,4612,47,1,,,,48
,4630,59,1,,,,60
,4649,42,1,,,,43
,4668,43,0,,,,43
,4686,57,1,,,,58
,4706,64,0,,,,64
,4724,41,0,,,,41
,4744,52,1,,,,53
,4766,28,2,,,,30
,4786,42,0,,,,42
,4806,40,1,,,,41
,4826,50,1,,,,51
,4848,40,1,,,,41
,4868,48,1,,,,49
,4888,52,1,,,,53
,4910,42,0,,,,42
,4931,41,0,,,,41
,4950,40,0,,,,40
,4970,38,3,,,,41
,4989,50,1,,,,51
,5008,50,1,,,,51
,5025,61,1,,,,62
,5042,51,0,,,,51
,5059,49,0,,,,49
,5076,66,1,,,,67
,5092,58,1,,,,59
,5112,57,3,,,,60
,5128,46,1,,,,47
,5147,49,1,,,,50
,5164,50,2,,,,52
,5181,64,1,,,,65
,5199,46,2,,,,48
,5215,52,1,,,,53
,5233,53,0,,,,53
,5250,64,0,,,,64
,5266,49,0,,,,49
,5283,45,4,,,,49
,5300,61,1,,,,62
,5318,55,0,,,,55
,5334,73,5,,,,78
,5349,99,0,,,,99
,5367,50,0,,,,50
,5385,28,4,,,,32
,5402,51,1,,,,52
,5418,47,0,,,,47
,5434,41,2,,,,43
,5452,54,1,,,,55
,5468,47,0,,,,47
,5486,56,2,,,,58
