Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Time (sec),FPS,
2,6.92E+12,6.92E+12,16.767644,0,,,149,59,
2,6.92E+12,6.92E+12,16.766968,0,,,150,60,
2,6.92E+12,6.92E+12,16.766105,0,,,151,59,
2,6.92E+12,6.92E+12,16.766808,0,,,152,60,
2,6.92E+12,6.92E+12,16.766238,0,,,153,60,
2,6.92E+12,6.92E+12,16.767271,0,,,154,59,
2,6.92E+12,6.92E+12,16.767484,0,,,155,60,
2,6.92E+12,6.92E+12,16.767377,0,,,156,60,
2,6.92E+12,6.92E+12,16.767128,0,,,157,59,
2,6.92E+12,6.92E+12,16.76662,0,,,158,60,
2,6.92E+12,6.92E+12,16.76582,0,,,159,60,
2,6.92E+12,6.92E+12,16.767065,0,,,160,59,
2,6.92E+12,6.92E+12,16.767427,0,,,161,60,
2,6.92E+12,6.92E+12,16.767473,0,,,162,59,
2,6.92E+12,6.92E+12,16.767363,0,,,163,60,
2,6.92E+12,6.92E+12,16.766941,0,,,164,60,
2,6.92E+12,6.92E+12,16.766829,0,,,165,59,
2,6.92E+12,6.92E+12,16.767581,0,,,166,60,
2,6.92E+12,6.92E+12,16.767331,0,,,167,60,
3,6.92E+12,6.92E+12,16.767611,0,,,168,59,
3,6.92E+12,6.92E+12,16.767526,0,,,169,60,
3,6.92E+12,6.92E+12,16.767675,0,,,170,60,
3,6.92E+12,6.92E+12,16.765777,0,,,171,59,
3,6.92E+12,6.92E+12,16.767284,0,,,172,60,
3,6.92E+12,6.92E+12,16.767619,0,,,173,59,
3,6.92E+12,6.92E+12,16.768035,0,,,174,60,
3,6.92E+12,6.92E+12,16.767363,0,,,175,60,
3,6.92E+12,6.92E+12,16.767444,0,,,176,59,
3,6.92E+12,6.92E+12,16.767839,0,,,177,60,
3,6.92E+12,6.92E+12,16.767139,0,,,178,60,
3,6.92E+12,6.92E+12,16.767534,0,,,179,59,
3,6.92E+12,6.92E+12,16.7675,0,,,180,60,
3,6.92E+12,6.92E+12,16.767156,0,,,181,59,
3,6.92E+12,6.92E+12,16.767178,0,,,182,60,
3,6.92E+12,6.92E+12,16.767299,0,,,183,60,
3,6.92E+12,6.92E+12,16.767483,0,,,184,59,
3,6.92E+12,6.92E+12,16.766975,0,,,185,60,
3,6.92E+12,6.92E+12,16.767154,0,,,186,60,
3,6.92E+12,6.92E+12,16.767403,0,,,187,59,
3,6.92E+12,6.92E+12,16.767031,0,,,188,60,
3,6.92E+12,6.92E+12,16.767072,0,,,189,60,
3,6.92E+12,6.92E+12,16.766832,0,,,190,59,
3,6.92E+12,6.92E+12,16.767321,0,,,191,60,
3,6.92E+12,6.92E+12,16.767405,0,,,192,59,
3,6.92E+12,6.92E+12,16.767329,0,,,193,60,
3,6.92E+12,6.92E+12,16.767757,0,,,194,60,
3,6.92E+12,6.92E+12,16.767465,0,,,195,59,
3,6.92E+12,6.92E+12,16.766309,0,,,196,60,
3,6.92E+12,6.92E+12,16.766968,0,,,197,60,
3,6.92E+12,6.92E+12,16.767638,0,,,198,59,
3,6.92E+12,6.92E+12,16.767323,0,,,199,60,
3,6.92E+12,6.92E+12,16.767933,0,,,200,60,
3,6.92E+12,6.92E+12,16.767291,0,,,201,59,
3,6.92E+12,6.92E+12,16.766809,0,,,202,60,
3,6.92E+12,6.92E+12,16.767022,0,,,203,59,
3,6.92E+12,6.92E+12,16.767707,0,,,204,60,
3,6.92E+12,6.92E+12,16.767205,0,,,205,60,
3,6.92E+12,6.92E+12,16.767516,0,,,206,59,
3,6.92E+12,6.92E+12,16.767385,0,,,207,60,
3,6.92E+12,6.92E+12,16.767407,0,,,208,60,
3,6.92E+12,6.92E+12,16.766815,0,,,209,59,
3,6.92E+12,6.92E+12,16.766502,0,,,210,60,
3,6.92E+12,6.92E+12,16.76709,0,,,211,59,
3,6.92E+12,6.92E+12,16.766328,0,,,212,60,
3,6.92E+12,6.92E+12,16.766334,0,,,213,60,
3,6.92E+12,6.92E+12,16.767511,0,,,214,59,
3,6.92E+12,6.92E+12,16.767551,0,,,215,60,
3,6.92E+12,6.92E+12,16.767552,0,,,216,60,
3,6.92E+12,6.92E+12,16.767488,0,,,217,59,
3,6.92E+12,6.92E+12,16.76793,0,,,218,60,
3,6.92E+12,6.92E+12,16.767515,0,,,219,59,
3,6.92E+12,6.92E+12,16.767067,0,,,220,60,
3,6.92E+12,6.92E+12,16.766254,0,,,221,60,
3,6.92E+12,6.92E+12,16.76675,0,,,222,59,
3,6.92E+12,6.92E+12,16.767737,0,,,223,60,
3,6.92E+12,6.92E+12,16.767948,0,,,224,60,
3,6.92E+12,6.92E+12,16.767171,0,,,225,59,
3,6.92E+12,6.92E+12,16.766845,0,,,226,60,
3,6.92E+12,6.92E+12,16.766554,0,,,227,59,
4,6.92E+12,6.92E+12,16.767853,0,,,228,60,
4,6.92E+12,6.92E+12,16.767569,0,,,229,60,
4,6.92E+12,6.92E+12,16.767485,0,,,230,59,
4,6.92E+12,6.92E+12,16.766841,0,,,231,60,
4,6.92E+12,6.92E+12,16.767432,0,,,232,60,
4,6.92E+12,6.92E+12,16.767196,0,,,233,59,
4,6.92E+12,6.92E+12,16.767448,0,,,234,60,
4,6.92E+12,6.92E+12,16.767413,0,,,235,59,
4,6.92E+12,6.92E+12,16.767415,0,,,236,60,
4,6.92E+12,6.92E+12,16.767126,0,,,237,60,
4,6.92E+12,6.92E+12,16.767157,0,,,238,59,
4,6.92E+12,6.92E+12,16.767411,0,,,239,60,
4,6.92E+12,6.92E+12,16.76749,0,,,240,60,
4,6.92E+12,6.92E+12,16.767264,0,,,241,59,
4,6.92E+12,6.92E+12,16.767572,0,,,242,60,
4,6.92E+12,6.92E+12,16.766954,0,,,243,59,
4,6.92E+12,6.92E+12,16.766226,0,,,244,60,
4,6.92E+12,6.92E+12,16.767443,0,,,245,60,
4,6.92E+12,6.92E+12,16.768016,0,,,246,59,
4,6.92E+12,6.92E+12,16.767547,0,,,247,60,
4,6.92E+12,6.92E+12,16.76797,0,,,248,60,
4,6.92E+12,6.92E+12,16.767372,0,,,249,59,
