Num,Time (sec),Total Mem (kB),Used Mem (kB),Free Mem (kB),Buffer Size (kB),Mem Usage (%),CPU Total (%),CPU User (%),CPU User Actual (%),CPU System (%),CPU System Actual (%)
97,481,3731608,3478868,252740,143592,0.932270485,800,313,0.39125,53,0.06625
98,486,3731608,3480428,251180,143592,0.932688535,800,263,0.32875,50,0.0625
99,491,3731608,3481764,249844,143592,0.933046558,800,288,0.36,41,0.05125
100,496,3731608,3489124,242484,143604,0.935018898,800,334,0.4175,63,0.07875
101,501,3731608,3485156,246452,143604,0.933955549,800,313,0.39125,69,0.08625
102,506,3731608,3484536,247072,143604,0.933789401,800,300,0.375,61,0.07625
103,511,3731608,3486016,245592,143604,0.934186013,800,278,0.3475,50,0.0625
104,516,3731608,3487120,244488,143604,0.934481864,800,306,0.3825,47,0.05875
105,521,3731608,3487428,244180,143604,0.934564402,800,352,0.44,55,0.06875
106,526,3731608,3476828,254780,143608,0.931723804,800,266,0.3325,63,0.07875
107,531,3731608,3477836,253772,143608,0.931993929,800,338,0.4225,47,0.05875
108,536,3731608,3479512,252096,143608,0.932443065,800,331,0.41375,50,0.0625
109,541,3731608,3481944,249664,143608,0.933094795,800,291,0.36375,78,0.0975
110,546,3731608,3476128,255480,143608,0.931536217,800,303,0.37875,52,0.065
111,551,3731608,3479056,252552,143608,0.932320865,800,319,0.39875,53,0.06625
112,556,3731608,3479216,252392,143608,0.932363742,800,269,0.33625,63,0.07875
113,561,3731608,3479524,252084,143608,0.932446281,800,275,0.34375,56,0.07
114,566,3731608,3483740,247868,143608,0.933576088,800,297,0.37125,55,0.06875
115,571,3731608,3485772,245836,143608,0.934120626,800,264,0.33,52,0.065
116,576,3731608,3487864,243744,143608,0.934681242,800,306,0.3825,55,0.06875
117,581,3731608,3485256,246352,143612,0.933982348,800,338,0.4225,63,0.07875
118,586,3731608,3484460,247148,143612,0.933769035,800,272,0.34,50,0.0625
119,591,3731608,3486784,244824,143612,0.934391823,800,306,0.3825,47,0.05875
120,596,3731608,3482628,248980,143612,0.933278094,800,318,0.3975,67,0.08375
121,601,3731608,3487464,244144,143612,0.93457405,800,291,0.36375,58,0.0725
122,607,3731608,3480904,250704,143612,0.932816094,800,325,0.40625,53,0.06625
123,612,3731608,3484496,247112,143612,0.933778682,800,281,0.35125,66,0.0825
124,617,3731608,3481608,250000,143612,0.933004753,800,259,0.32375,50,0.0625
125,622,3731608,3483252,248356,143612,0.933445314,800,331,0.41375,44,0.055
126,627,3731608,3488592,243016,143612,0.934876332,800,253,0.31625,50,0.0625
127,632,3731608,3484996,246612,143612,0.933912672,800,278,0.3475,66,0.0825
128,637,3731608,3484344,247264,143612,0.933737949,800,325,0.40625,56,0.07
129,642,3731608,3481864,249744,143612,0.933073356,800,281,0.35125,59,0.07375
130,647,3731608,3486456,245152,143624,0.934303925,800,297,0.37125,68,0.085
