Timestamp,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,650,18,145,,,,163
,655,38,149,,,,187
,659,33,153,,,,186
,665,34,154,,,,188
,669,18,158,,,,176
,675,33,147,,,,180
,680,29,155,,,,184
,685,15,144,,,,159
,690,16,152,,,,168
,695,33,149,,,,182
,699,24,150,,,,174
,704,29,146,,,,175
,709,16,153,,,,169
,714,32,158,,,,190
,719,16,145,,,,161
,725,26,146,,,,172
,730,17,148,,,,165
,735,22,146,,,,168
,739,15,165,,,,180
,744,30,177,,,,207
,749,41,149,,,,190
,754,36,143,,,,179
,759,15,149,,,,164
,765,15,148,,,,163
,770,24,171,,,,195
,774,17,203,,,,220
,779,15,146,,,,161
,785,21,161,,,,182
,789,18,174,,,,192
,794,34,154,,,,188
,800,15,149,,,,164
,805,19,147,,,,166
,810,15,146,,,,161
,815,20,153,,,,173
,819,27,157,,,,184
,824,36,152,,,,188
,829,45,158,,,,203
,834,16,146,,,,162
,839,23,168,,,,191
,844,38,149,,,,187
,849,15,176,,,,191
,853,23,174,,,,197
,859,15,151,,,,166
,864,25,160,,,,185
,869,15,169,,,,184
,874,27,154,,,,181
,879,39,152,,,,191
,884,27,181,,,,208
,889,33,184,,,,217
,894,24,153,,,,177
,899,14,148,,,,162
,904,41,158,,,,199
,909,27,153,,,,180
,914,27,157,,,,184
,919,29,154,,,,183
,924,28,158,,,,186
,929,33,164,,,,197
,934,23,156,,,,179
,939,41,176,,,,217
,944,17,151,,,,168
,948,14,142,,,,156
,953,25,160,,,,185
,958,18,178,,,,196
,963,16,149,,,,165
,968,43,150,,,,193
,973,24,152,,,,176
,978,17,154,,,,171
,983,35,151,,,,186
,988,25,156,,,,181
,993,33,190,,,,223
,998,27,156,,,,183
,1003,15,147,,,,162
,1008,18,152,,,,170
,1013,29,154,,,,183
,1018,16,155,,,,171
,1023,25,150,,,,175
,1028,31,151,,,,182
,1033,16,165,,,,181
,1038,26,153,,,,179
,1043,15,144,,,,159
,1048,25,146,,,,171
,1053,27,148,,,,175
,1058,21,157,,,,178
,1063,25,160,,,,185
,1068,24,158,,,,182
,1073,26,150,,,,176
,1078,17,157,,,,174
,1083,35,160,,,,195
,1088,31,152,,,,183
,1093,29,150,,,,179
,1098,27,152,,,,179
,1103,38,150,,,,188
,1108,15,145,,,,160
,1114,17,151,,,,168
,1119,24,152,,,,176
,1124,23,151,,,,174
,1129,20,168,,,,188
,1134,28,147,,,,175
,1139,35,167,,,,202
,1144,21,150,,,,171
,1149,16,150,,,,166
,1154,27,152,,,,179
,1159,27,164,,,,191
,1165,32,141,,,,173
,1170,16,146,,,,162
,1175,24,156,,,,180
,1180,42,159,,,,201
,1185,14,152,,,,166
,1190,24,175,,,,199
,1195,38,140,,,,178
,1200,18,154,,,,172
,1205,15,162,,,,177
,1210,17,140,,,,157
,1215,30,153,,,,183
,1220,14,155,,,,169
,1225,15,147,,,,162
,1230,34,149,,,,183
,1235,34,147,,,,181
,1241,15,161,,,,176
,1246,18,146,,,,164
,1251,24,146,,,,170
,1256,14,145,,,,159
,1261,14,146,,,,160
,1266,16,144,,,,160
,1271,15,147,,,,162
,1276,36,152,,,,188
,1281,17,149,,,,166
,1286,16,152,,,,168
,1291,15,145,,,,160
,1296,23,148,,,,171
,1301,25,147,,,,172
,1306,23,150,,,,173
,1311,43,153,,,,196
,1316,24,164,,,,188
,1320,15,157,,,,172
,1325,15,159,,,,174
,1330,23,182,,,,205
,1334,19,161,,,,180
,1339,18,176,,,,194
,1343,28,221,,,,249
,1348,17,168,,,,185
,1353,18,171,,,,189
,1357,17,168,,,,185
,1362,26,170,,,,196
,1366,19,182,,,,201
,1371,39,175,,,,214
,1375,36,197,,,,233
,1380,17,178,,,,195
,1384,33,170,,,,203
,1389,39,187,,,,226
,1394,19,179,,,,198
,1398,18,184,,,,202
,1403,19,167,,,,186
,1407,17,166,,,,183
,1412,18,172,,,,190
,1416,31,190,,,,221
,1421,21,189,,,,210
,1425,20,170,,,,190
,1430,26,173,,,,199
,1434,34,170,,,,204
,1439,17,172,,,,189
,1443,28,175,,,,203
,1448,17,196,,,,213
,1452,18,204,,,,222
,1456,34,173,,,,207
,1461,26,169,,,,195
,1465,27,180,,,,207
,1470,38,180,,,,218
,1475,18,175,,,,193
,1479,29,179,,,,208
,1483,28,176,,,,204
,1488,22,182,,,,204
,1493,17,171,,,,188
,1497,18,174,,,,192
,1502,23,177,,,,200
,1506,24,168,,,,192
,1508,17,175,,,,192
