Timestamp,Attempt No,Result,Time to Preprocess (millis),Time to Classify (millis)
20181101_015343,1870,dandelion,26,72
20181101_015344,1877,dandelion,27,65
20181101_015345,1885,dandelion,29,76
20181101_015346,1892,dandelion,29,66
20181101_015347,1900,dandelion,26,63
20181101_015348,1907,dandelion,27,67
20181101_015349,1915,dandelion,42,73
20181101_015350,1922,dandelion,36,77
20181101_015351,1930,dandelion,28,73
20181101_015352,1937,dandelion,29,79
20181101_015353,1945,dandelion,26,78
20181101_015354,1952,dandelion,29,73
20181101_015355,1959,dandelion,25,76
20181101_015356,1967,dandelion,29,66
20181101_015357,1974,dandelion,26,77
20181101_015358,1982,dandelion,39,74
20181101_015359,1989,dandelion,29,68
20181101_015400,1996,dandelion,53,70
20181101_015401,2004,dandelion,27,66
20181101_015402,2011,dandelion,31,76
20181101_015403,2019,dandelion,28,70
20181101_015404,2026,dandelion,28,72
20181101_015405,2034,dandelion,27,77
20181101_015406,2041,dandelion,34,75
20181101_015407,2049,dandelion,28,74
20181101_015408,2056,dandelion,28,74
20181101_015409,2064,dandelion,28,68
20181101_015410,2071,dandelion,29,72
20181101_015411,2079,dandelion,29,77
20181101_015412,2086,dandelion,31,69
20181101_015413,2094,dandelion,29,79
20181101_015414,2101,dandelion,28,71
20181101_015415,2109,dandelion,27,65
20181101_015416,2116,dandelion,30,76
20181101_015417,2124,dandelion,27,75
20181101_015418,2131,dandelion,42,75
20181101_015419,2139,dandelion,29,67
20181101_015420,2146,dandelion,43,75
20181101_015421,2154,dandelion,26,66
20181101_015422,2161,dandelion,30,72
20181101_015423,2169,dandelion,26,71
20181101_015424,2176,dandelion,35,75
20181101_015425,2184,dandelion,32,66
20181101_015426,2191,dandelion,36,66
20181101_015427,2199,dandelion,35,67
20181101_015428,2206,dandelion,27,60
20181101_015429,2214,dandelion,23,62
20181101_015430,2221,dandelion,40,66
20181101_015431,2229,dandelion,23,65
20181101_015432,2231,dandelion,25,68
