Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.589898,35.795212
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.572971,36.778285
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.28719,36.492504
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.917763,36.123077
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.467345,36.672659
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.498179,36.703493
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.692502,35.897816
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.379429,36.584743
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.235314,36.440628
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.403961,36.609275
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.402711,36.608025
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.253804,36.459118
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.91547,36.120784
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.820783,37.026097
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.643596,36.84891
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.715992,36.921306
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.011981,36.217295
5,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.163023,36.368337
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.43021,36.635524
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.132866,36.33818
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.962189,36.167503
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.169377,36.374691
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.654481,35.859795
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.803335,36.008649
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.661825,36.867139
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.476252,36.681566
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.988491,37.193805
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.31271,36.518024
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.69245,35.897764
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.095002,36.300316
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.441929,36.647243
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.68271,37.888024
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.334221,36.539535
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.229793,36.435107
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.218961,37.424275
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.191304,36.396618
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.104012,36.309326
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.597502,37.802816
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.848127,36.053441
6,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.445106,36.65042
