Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
3,2.51E+14,2.51E+14,16.470774,0,,,180,60,,,,
3,2.51E+14,2.51E+14,16.767027,0,,,181,59,,,,
3,2.51E+14,2.51E+14,16.769714,0,,,182,60,,,,
3,2.51E+14,2.51E+14,16.770917,0,,,183,60,,,,
3,2.51E+14,2.51E+14,16.770573,0,,,184,59,,,,
3,2.51E+14,2.51E+14,16.769899,0,,,185,60,,,,
3,2.51E+14,2.51E+14,16.765794,0,,,186,60,,,,
3,2.51E+14,2.51E+14,16.769444,0,,,187,59,,,,
3,2.51E+14,2.51E+14,16.769714,0,,,188,60,,,,
3,2.51E+14,2.51E+14,16.765031,0,,,189,59,,,,
3,2.51E+14,2.51E+14,16.767019,0,,,190,60,,,,
3,2.51E+14,2.51E+14,16.769313,0,,,191,60,,,,
3,2.51E+14,2.51E+14,16.765018,0,,,192,59,,,,
3,2.51E+14,2.51E+14,16.769373,0,,,193,60,,,,
3,2.51E+14,2.51E+14,16.769634,0,,,194,60,,,,
3,2.51E+14,2.51E+14,16.768106,0,,,195,59,,,,
3,2.51E+14,2.51E+14,16.765176,0,,,196,60,,,,
3,2.51E+14,2.51E+14,16.767929,0,,,197,59,,,,
3,2.51E+14,2.51E+14,16.76788,0,,,198,60,,,,
3,2.51E+14,2.51E+14,16.769808,0,,,199,60,,,,
3,2.51E+14,2.51E+14,16.767972,0,,,200,59,,,,
3,2.51E+14,2.51E+14,16.764252,0,,,201,60,,,,
3,2.51E+14,2.51E+14,16.763049,0,,,202,59,,,,
3,2.51E+14,2.51E+14,16.766456,0,,,203,60,,,,
3,2.51E+14,2.51E+14,16.768956,0,,,204,60,,,,
3,2.51E+14,2.51E+14,16.765353,0,,,205,59,,,,
3,2.51E+14,2.51E+14,16.762262,0,,,206,60,,,,
3,2.51E+14,2.51E+14,16.769266,0,,,207,60,,,,
3,2.51E+14,2.51E+14,16.769174,0,,,208,59,,,,
3,2.51E+14,2.51E+14,16.768884,0,,,209,60,,,,
3,2.51E+14,2.51E+14,16.770104,0,,,210,60,,,,
3,2.51E+14,2.51E+14,16.764435,0,,,211,59,,,,
3,2.51E+14,2.51E+14,16.770353,0,,,212,60,,,,
3,2.51E+14,2.51E+14,16.770554,0,,,213,59,,,,
3,2.51E+14,2.51E+14,16.769995,0,,,214,60,,,,
3,2.51E+14,2.51E+14,16.769924,0,,,215,60,,,,
3,2.51E+14,2.51E+14,16.769979,0,,,216,59,,,,
3,2.51E+14,2.51E+14,16.770084,0,,,217,60,,,,
3,2.51E+14,2.51E+14,16.768206,0,,,218,59,,,,
3,2.51E+14,2.51E+14,16.769492,0,,,219,60,,,,
3,2.51E+14,2.51E+14,16.768837,0,,,220,60,,,,
3,2.51E+14,2.51E+14,16.761998,0,,,221,59,,,,
3,2.51E+14,2.51E+14,16.768312,0,,,222,60,,,,
3,2.51E+14,2.51E+14,16.768882,0,,,223,60,,,,
3,2.51E+14,2.51E+14,16.76868,0,,,224,59,,,,
3,2.51E+14,2.51E+14,16.764819,0,,,225,60,,,,
3,2.51E+14,2.51E+14,16.768411,0,,,226,59,,,,
3,2.51E+14,2.51E+14,16.768903,0,,,227,60,,,,
3,2.51E+14,2.51E+14,16.769161,0,,,228,60,,,,
3,2.51E+14,2.51E+14,16.76608,0,,,229,59,,,,
3,2.51E+14,2.51E+14,16.770584,0,,,230,60,,,,
3,2.51E+14,2.51E+14,16.768411,0,,,231,59,,,,
3,2.51E+14,2.51E+14,16.767031,0,,,232,60,,,,
3,2.51E+14,2.51E+14,16.77021,0,,,233,60,,,,
3,2.51E+14,2.51E+14,16.764973,0,,,234,59,,,,
3,2.51E+14,2.51E+14,16.768738,0,,,235,60,,,,
3,2.51E+14,2.51E+14,16.768343,0,,,236,60,,,,
3,2.51E+14,2.51E+14,16.769281,0,,,237,59,,,,
4,2.51E+14,2.51E+14,16.763288,0,,,238,60,,,,
4,2.51E+14,2.51E+14,16.770529,0,,,239,59,,,,
4,2.51E+14,2.51E+14,16.768859,0,,,240,60,,,,
4,2.51E+14,2.51E+14,16.769807,0,,,241,60,,,,
4,2.51E+14,2.51E+14,17.103999,0,,,242,59,,,,
4,2.51E+14,2.51E+14,16.769337,0,,,243,60,,,,
4,2.51E+14,2.51E+14,16.770178,0,,,244,60,,,,
4,2.51E+14,2.51E+14,16.770474,0,,,245,59,,,,
4,2.51E+14,2.51E+14,16.76845,0,,,246,60,,,,
4,2.51E+14,2.51E+14,16.816883,0,,,247,59,,,,
4,2.51E+14,2.51E+14,16.737802,0,,,248,60,,,,
4,2.51E+14,2.51E+14,16.695029,0,,,249,60,,,,
4,2.51E+14,2.51E+14,16.743335,0,,,250,59,,,,
4,2.51E+14,2.51E+14,16.749176,0,,,251,60,,,,
4,2.51E+14,2.51E+14,16.747823,0,,,252,59,,,,
4,2.51E+14,2.51E+14,16.749024,0,,,253,60,,,,
4,2.51E+14,2.51E+14,16.747178,0,,,254,60,,,,
4,2.51E+14,2.51E+14,16.747032,0,,,255,59,,,,
4,2.51E+14,2.51E+14,16.749403,0,,,256,60,,,,
4,2.51E+14,2.51E+14,16.748711,0,,,257,60,,,,
4,2.51E+14,2.51E+14,16.748038,0,,,258,59,,,,
