Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Result,Confidence
147,172382149219866,172382151295335,2.075469,172382151353355,172382208479871,57.126516,daisy, 0.6684416
147,172382215308258,172382217352841,2.044583,172382217413518,172382276729410,59.315892,daisy, 0.6774889
147,172382281654462,172382283702119,2.047657,172382283765816,172382346119729,62.353913,daisy, 0.6774736
147,172382348559521,172382350612490,2.052969,172382350672854,172382414458590,63.785736,daisy, 0.68606293
147,172382415462028,172382417520205,2.058177,172382417567080,172382474340367,56.773287,daisy, 0.6685423
147,172382482176305,172382484243441,2.067136,172382484303441,172382537884383,53.580942,daisy, 0.67151225
147,172382548732353,172382550798135,2.065782,172382550860791,172382609945328,59.084537,daisy, 0.66565204
147,172382614978922,172382617088610,2.109688,172382617152100,172382671820491,54.668391,daisy, 0.71346164
147,172382681494919,172382683533877,2.038958,172382683598096,172382744745289,61.147193,daisy, 0.6793995
147,172382749402217,172382751492269,2.090052,172382751552790,172382802656597,51.103807,daisy, 0.644046
147,172382815148682,172382817208109,2.059427,172382817291078,172382874817855,57.526777,daisy, 0.6693002
147,172382882689470,172382884778637,2.089167,172382884839106,172382947966768,63.127662,daisy, 0.6617113
148,172382948505206,172382950658643,2.153437,172382950718123,172383013128858,62.410735,daisy, 0.68608344
148,172383014789275,172383016840212,2.050937,172383016898337,172383072764541,55.866204,daisy, 0.71144223
148,172383081517302,172383083564125,2.046823,172383083625323,172383140655694,57.030371,daisy, 0.6551607
148,172383151162309,172383153282361,2.120052,172383153341632,172383212341117,58.999485,daisy, 0.6615074
148,172383215556534,172383217832264,2.27573,172383217887420,172383270936227,53.048807,daisy, 0.6251258
148,172383281473416,172383283517010,2.043594,172383283577583,172383341037172,57.459589,daisy, 0.6969306
148,172383348030402,172383350110298,2.079896,172383350171652,172383410225460,60.053808,daisy, 0.6855704
148,172383415067179,172383417254263,2.187084,172383417314575,172383473642133,56.327558,daisy, 0.693599
148,172383482163540,172383484303019,2.139479,172383484372030,172383544920942,60.548912,daisy, 0.66499156
148,172383548618911,172383550665161,2.04625,172383550722557,172383609329230,58.606673,daisy, 0.67456686
148,172383614341209,172383616409439,2.06823,172383616468085,172383672689653,56.221568,daisy, 0.70288515
148,172383681859133,172383683918873,2.05974,172383683979966,172383737081065,53.101099,daisy, 0.69092274
148,172383747908150,172383749994660,2.08651,172383750055285,172383805370760,55.315475,daisy, 0.6930207
148,172383815124511,172383817225240,2.100729,172383818061699,172383873605506,55.543807,daisy, 0.68255854
148,172383882325976,172383884366028,2.040052,172383884422330,172383942132232,57.709902,daisy, 0.6852533
149,172383949535045,172383958798588,9.263543,172383958884994,172384015816041,56.931047,daisy, 0.6818965
149,172384050560107,172384056120785,5.560678,172384056236253,172384127852979,71.616726,daisy, 0.664752
149,172384148674492,172384151223086,2.548594,172384151294596,172384209782415,58.487819,daisy, 0.64334774
149,172384215381217,172384217546947,2.16573,172384217611686,172384270254816,52.64313,daisy, 0.6356747
149,172384282811849,172384285735547,2.923698,172384285808933,172384351234929,65.425996,daisy, 0.6434382
149,172384380550609,172384382651911,2.101302,172384382711234,172384455797022,73.085788,daisy, 0.6870461
149,172384480704421,172384485415255,4.710834,172384485530880,172384555163178,69.632298,daisy, 0.6505074
149,172384581039170,172384584247087,3.207917,172384584306514,172384651979386,67.672872,daisy, 0.7119555
149,172384680828503,172384683103243,2.27474,172384683167149,172384745303822,62.136673,daisy, 0.6724678
149,172384747161166,172384749287156,2.12599,172384749343614,172384801203099,51.859485,daisy, 0.68259376
149,172384814606850,172384816716277,2.109427,172384816781069,172384876909981,60.128912,daisy, 0.65169644
149,172384880758367,172384882842534,2.084167,172384882900034,172384937396341,54.496307,daisy, 0.6523959
150,172384947853009,172384949911395,2.058386,172384950122905,172385004548952,54.426047,daisy, 0.67353904
150,172385013560984,172385015616922,2.055938,172385015676974,172385071056146,55.379172,daisy, 0.65598184
150,172385080436616,172385082506095,2.069479,172385082566616,172385136524590,53.957974,daisy, 0.6836273
150,172385147502091,172385155005582,7.503491,172385155090738,172385210989337,55.898599,daisy, 0.6889476
150,172385214617879,172385224607932,9.990053,172385224714078,172385284498199,59.784121,daisy, 0.6924093
150,172385314261639,172385319246483,4.984844,172385319313306,172385388228782,68.915476,daisy, 0.66785634
150,172385415472378,172385418568004,3.095626,172385418637952,172385482526760,63.888808,daisy, 0.6817932
150,172385513725722,172385515784211,2.058489,172385515845566,172385585473645,69.628079,daisy, 0.67107874
150,172385615377919,172385619799170,4.421251,172385619882815,172385697787355,77.90454,daisy, 0.66150576
150,172385713628658,172385715773658,2.145,172385715832721,172385769207622,53.374901,daisy, 0.6760952
150,172385780360748,172385782431738,2.07099,172385782489394,172385837370389,54.880995,daisy, 0.69697285
150,172385847870755,172385849951640,2.080885,172385850010026,172385911646438,61.636412,daisy, 0.735045
150,172385914093105,172385916163678,2.070573,172385916271751,172385972205455,55.933704,daisy, 0.6743337
151,172385980099362,172385982158685,2.059323,172385982219414,172386036266242,54.046828,daisy, 0.71374816
151,172386046996764,172386049149942,2.153178,172386049209837,172386116916407,67.70657,daisy, 0.70200765
151,172386147395003,172386157572973,10.17797,172386157686671,172386225315480,67.628809,daisy, 0.65996623
151,172386247195690,172386255829806,8.634116,172386255942150,172386319921896,63.979746,daisy, 0.67159116
151,172386348315753,172386353021586,4.705833,172386353138461,172386425972375,72.833914,daisy, 0.7126831
151,172386447630971,172386457271961,9.64099,172386457350451,172386519511082,62.160631,daisy, 0.69508713
151,172386547636293,172386554986242,7.349949,172386555064940,172386613234946,58.170006,daisy, 0.65936476
151,172386614881404,172386616896196,2.014792,172386616950936,172386673249691,56.298755,daisy, 0.68779117
151,172386680336463,172386682421723,2.08526,172386682481567,172386736759437,54.27787,daisy, 0.6882923
151,172386747217094,172386749293397,2.076303,172386749353709,172386801797517,52.443808,daisy, 0.71723855
151,172386813381528,172386815571372,2.189844,172386815635591,172386874225961,58.59037,daisy, 0.6715123
151,172386880368097,172386882446587,2.07849,172386882506014,172386942919041,60.413027,daisy, 0.7259899
152,172386947180969,172386955083053,7.902084,172386955179042,172387008912225,53.733183,daisy, 0.6376414
152,172387014375194,172387016477798,2.102604,172387016555350,172387075755356,59.200006,daisy, 0.7031825
152,172387080105357,172387082174263,2.068906,172387082237128,172387139858331,57.621203,daisy, 0.7082625
152,172387146707395,172387154405156,7.697761,172387154492656,172387209899745,55.407089,daisy, 0.6718878
152,172387213114745,172387215294120,2.179375,172387215355735,172387274260168,58.904433,daisy, 0.6570485
152,172387280139127,172387282408606,2.269479,172387282472929,172387336070747,53.597818,daisy, 0.6757956
152,172387346814810,172387348907467,2.092657,172387348970436,172387414399036,65.4286,daisy, 0.6719952
152,172387446834977,172387448945081,2.110104,172387449028102,172387510357743,61.329641,daisy, 0.68478703
152,172387514669463,172387516705504,2.036041,172387516766859,172387575008479,58.24162,daisy, 0.6610711
152,172387579666761,172387581760615,2.093854,172387581825303,172387639408850,57.583547,daisy, 0.66835964
152,172387646876247,172387649133070,2.256823,172387649195257,172387704310159,55.114902,daisy, 0.65982264
152,172387713216045,172387715347347,2.131302,172387715408701,172387774045478,58.636777,daisy, 0.6629186
152,172387779048187,172387781780583,2.732396,172387781859489,172387837412463,55.552974,daisy, 0.68184614
152,172387847021058,172387859249184,12.228126,172387859342934,172387922887160,63.544226,daisy, 0.6797048
153,172387946508881,172387948583620,2.074739,172387948639870,172388010505345,61.865475,daisy, 0.69274396
153,172388013421544,172388016353158,2.931614,172388016415763,172388072064466,55.648703,daisy, 0.677041
153,172388078837279,172388083528530,4.691251,172388083649415,172388138444368,54.794953,daisy, 0.69990104
153,172388147222546,172388149307182,2.084636,172388149369317,172388202974219,53.604902,daisy, 0.6892867
153,172388214152605,172388216216355,2.06375,172388216273960,172388273817559,57.543599,daisy, 0.6845687
153,172388279380372,172388281480581,2.100209,172388281540476,172388342586837,61.046361,daisy, 0.71369195
153,172388346016785,172388348132671,2.115886,172388348192098,172388414277365,66.085267,daisy, 0.67698795
153,172388445978462,172388448401483,2.423021,172388448468566,172388517562375,69.093809,daisy, 0.7255963
153,172388545792951,172388550698368,4.905417,172388550770035,172388615321603,64.551568,daisy, 0.65198845
153,172388646355669,172388656542753,10.187084,172388656655878,172388725332239,68.676361,daisy, 0.6945232
153,172388745528856,172388750845263,5.316407,172388750913857,172388814758603,63.844746,daisy, 0.7107283
153,172388845919595,172388848686054,2.766459,172388848756523,172388909537362,60.780839,daisy, 0.6544112
153,172388913172571,172388915257779,2.085208,172388915316633,172388972307733,56.9911,daisy, 0.64442533
154,172388978615025,172388980662317,2.047292,172388980724036,172389034044562,53.320526,daisy, 0.694827
154,172389045443469,172389047563678,2.120209,172389047629147,172389104042017,56.41287,daisy, 0.7315847
154,172389111896653,172389113988841,2.092188,172389114047955,172389176909003,62.861048,daisy, 0.71326894
154,172389180088431,172389182163587,2.075156,172389182225254,172389237545780,55.320526,daisy, 0.6791272
154,172389245096302,172389247161250,2.064948,172389247228229,172389303261516,56.033287,daisy, 0.6948134
154,172389311842298,172389313890111,2.047813,172389313949642,172389376043502,62.09386,daisy, 0.6436279
154,172389378725742,172389386513347,7.787605,172389386619805,172389442552623,55.932818,daisy, 0.686672
154,172389445761426,172389447820488,2.059062,172389447883926,172389504514192,56.630266,daisy, 0.6674872
154,172389513911537,172389515999245,2.087708,172389516057058,172389575422168,59.36511,daisy, 0.6328165
154,172389578571804,172389580617898,2.046094,172389580677950,172389636788268,56.110318,daisy, 0.66974455
154,172389645978164,172389648063425,2.085261,172389648126550,172389703872649,55.746099,daisy, 0.66987807
154,172389712362650,172389714437338,2.074688,172389714495463,172389773584531,59.089068,daisy, 0.675103
154,172389778861146,172389780921980,2.060834,172389781059740,172389835540058,54.480318,daisy, 0.710127
154,172389845747247,172389847802924,2.055677,172389847870060,172389900978190,53.10813,daisy, 0.6759426
154,172389912555951,172389914647618,2.091667,172389914724598,172389973869447,59.144849,daisy, 0.6555397
155,172389979157000,172389981224760,2.06776,172389981319656,172390040649089,59.329433,daisy, 0.6621435
155,172390046502423,172390048690184,2.187761,172390048751694,172390101839147,53.087453,daisy, 0.6946588
155,172390112386909,172390117583003,5.196094,172390117661232,172390181527957,63.866725,daisy, 0.6951698
155,172390214223482,172390220831451,6.607969,172390220959003,172390296125104,75.166101,daisy, 0.72452784
155,172390312722814,172390314803335,2.080521,172390315238908,172390373243393,58.004485,daisy, 0.69588715
155,172390378211415,172390380273394,2.061979,172390380338342,172390436041524,55.703182,daisy, 0.70754236
155,172390444770015,172390454363245,9.59323,172390454451422,172390515275699,60.824277,daisy, 0.68632483
155,172390546051067,172390548694504,2.643437,172390548757109,172390624863835,76.106726,daisy, 0.6581993
155,172390645146077,172390653992536,8.846459,172390654110557,172390717732334,63.621777,daisy, 0.6925393
155,172390745500618,172390753686244,8.185626,172390753924369,172390827081407,73.157038,daisy, 0.6862487
155,172390846800836,172390850385368,3.584532,172390850461253,172390910698447,60.237194,daisy, 0.67429036
155,172390911833811,172390913926312,2.092501,172390913997562,172390967219442,53.22188,daisy, 0.6537238
156,172390978558141,172390984837933,6.279792,172390984914027,172391039688199,54.774172,daisy, 0.7294321
156,172391045071898,172391047117471,2.045573,172391047178408,172391101392216,54.213808,daisy, 0.6884027
156,172391111954092,172391114005967,2.051875,172391114063832,172391171489410,57.425578,daisy, 0.653654
156,172391178204098,172391180267901,2.063803,172391180330244,172391238588011,58.257767,daisy, 0.693592
156,172391246349366,172391248418532,2.069166,172391248480668,172391311753539,63.272871,daisy, 0.6764331
156,172391312155414,172391314246664,2.09125,172391314297393,172391374439535,60.142142,daisy, 0.6915284
156,172391378463545,172391384030473,5.566928,172391384157869,172391439906468,55.748599,daisy, 0.632264
156,172391444788240,172391447019802,2.231562,172391447080948,172391511384079,64.303131,daisy, 0.6730414
156,172391544918197,172391547656219,2.738022,172391547726479,172391615531902,67.805423,daisy, 0.6895368
156,172391644384509,172391650850083,6.465574,172391650920552,172391712494412,61.57386,daisy, 0.68380743
156,172391745582280,172391748040926,2.458646,172391748106238,172391813633797,65.527559,daisy, 0.6976075
156,172391844561404,172391846796769,2.235365,172391846863332,172391914724797,67.861465,daisy, 0.6858815
157,172391944457560,172391946782717,2.325157,172391946847560,172392013380067,66.532507,daisy, 0.68332595
157,172392044794758,172392053739863,8.945105,172392053822675,172392111749400,57.926725,daisy, 0.6669931
157,172392112927994,172392114998410,2.070416,172392115057160,172392170337374,55.280214,daisy, 0.70575774
157,172392177642323,172392179722531,2.080208,172392179785292,172392235095141,55.309849,daisy, 0.66813534
157,172392247051757,172392249167122,2.115365,172392249228111,172392305659992,56.431881,daisy, 0.67072755
157,172392310929576,172392313033847,2.104271,172392313094211,172392369053540,55.959329,daisy, 0.6467333
157,172392377644270,172392379713958,2.069688,172392379775989,172392440570005,60.794016,daisy, 0.7265097
157,172392444261204,172392451109902,6.848698,172392451191517,172392513486679,62.295162,daisy, 0.664909
157,172392545175016,172392547219183,2.044167,172392547280068,172392607709449,60.429381,daisy, 0.65473354
157,172392611287627,172392613357835,2.070208,172392613415700,172392669178101,55.762401,daisy, 0.6948449
157,172392677802633,172392679871383,2.06875,172392679929092,172392733468524,53.539432,daisy, 0.64977944
157,172392743895036,172392746033421,2.138385,172392746096442,172392804478792,58.38235,daisy, 0.69563895
157,172392812046813,172392814169157,2.122344,172392814231032,172392871819163,57.588131,daisy, 0.6647474
157,172392877322861,172392879409580,2.086719,172392879471507,172392936753440,57.281933,daisy, 0.6892773
158,172392944712816,172392952717608,8.004792,172392952798806,172393010868031,58.069225,daisy, 0.6821005
158,172393044199857,172393046875222,2.675365,172393046945222,172393111086895,64.141673,daisy, 0.668895
158,172393145844294,172393150330857,4.486563,172393150418826,172393217768156,67.34933,daisy, 0.70115167
158,172393244128106,172393246361179,2.233073,172393246426909,172393309394779,62.96787,daisy, 0.6629966
158,172393311123113,172393313194571,2.071458,172393313250665,172393376573276,63.322611,daisy, 0.6730915
158,172393377028120,172393379113224,2.085104,172393379162443,172393436155938,56.993495,daisy, 0.6822686
158,172393444206824,172393447253387,3.046563,172393447307658,172393504427195,57.119537,daisy, 0.6930223
158,172393510533081,172393512768289,2.235208,172393512837664,172393571716108,58.878444,daisy, 0.68755245
158,172393576635744,172393578697515,2.061771,172393578761056,172393633791114,55.030058,daisy, 0.6867075
158,172393643647834,172393645734553,2.086719,172393645798928,172393704133204,58.334276,daisy, 0.69363785
158,172393710122424,172393712220705,2.098281,172393712338882,172393771620607,59.281725,daisy, 0.6922279
158,172393776744982,172393781892795,5.147813,172393781997327,172393835825249,53.827922,daisy, 0.66997516
158,172393844464937,172393846516187,2.05125,172393846571916,172393904124162,57.552246,daisy, 0.68304247
158,172393909783850,172393911848485,2.064635,172393911911871,172393970065418,58.153547,daisy, 0.6764678
159,172393977111565,172393981730419,4.618854,172393981802815,172394033766935,51.96412,daisy, 0.69267356
159,172394043326675,172394045387144,2.060469,172394045446624,172394099550639,54.104015,daisy, 0.6845766
159,172394110529963,172394112610172,2.080209,172394112670901,172394176608772,63.937871,daisy, 0.65399015
159,172394210999192,172394213086276,2.087084,172394213146067,172394270864042,57.717975,daisy, 0.7138782
159,172394276900397,172394282462220,5.561823,172394282548835,172394340822538,58.273703,daisy, 0.65630084
159,172394343710768,172394345819779,2.109011,172394345878216,172394401106242,55.228026,daisy, 0.67829275
