Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
1,2.50E+14,2.50E+14,16.776592,0,,,85,59,,,,
1,2.50E+14,2.50E+14,16.776772,0,,,86,60,,,,
1,2.50E+14,2.50E+14,16.776664,0,,,87,59,,,,
1,2.50E+14,2.50E+14,16.776275,0,,,88,60,,,,
1,2.50E+14,2.50E+14,16.776617,0,,,89,60,,,,
1,2.50E+14,2.50E+14,16.776647,0,,,90,59,,,,
1,2.50E+14,2.50E+14,16.776572,0,,,91,60,,,,
1,2.50E+14,2.50E+14,16.776713,0,,,92,59,,,,
1,2.50E+14,2.50E+14,16.776624,0,,,93,60,,,,
1,2.50E+14,2.50E+14,16.776587,0,,,94,60,,,,
1,2.50E+14,2.50E+14,16.77676,0,,,95,59,,,,
1,2.50E+14,2.50E+14,16.776594,0,,,96,60,,,,
1,2.50E+14,2.50E+14,16.776505,0,,,97,59,,,,
1,2.50E+14,2.50E+14,16.776628,0,,,98,60,,,,
1,2.50E+14,2.50E+14,16.776599,0,,,99,60,,,,
1,2.50E+14,2.50E+14,16.776474,0,,,100,59,,,,
1,2.50E+14,2.50E+14,16.77644,0,,,101,60,,,,
1,2.50E+14,2.50E+14,16.77657,0,,,102,60,,,,
1,2.50E+14,2.50E+14,16.776434,0,,,103,59,,,,
1,2.50E+14,2.50E+14,16.776501,0,,,104,60,,,,
1,2.50E+14,2.50E+14,16.776585,0,,,105,59,,,,
1,2.50E+14,2.50E+14,16.776425,0,,,106,60,,,,
1,2.50E+14,2.50E+14,16.776509,0,,,107,60,,,,
1,2.50E+14,2.50E+14,16.776632,0,,,108,59,,,,
1,2.50E+14,2.50E+14,16.776366,0,,,109,60,,,,
1,2.50E+14,2.50E+14,16.776403,0,,,110,59,,,,
1,2.50E+14,2.50E+14,16.776546,0,,,111,60,,,,
1,2.50E+14,2.50E+14,16.776299,0,,,112,60,,,,
1,2.50E+14,2.50E+14,16.776304,0,,,113,59,,,,
1,2.50E+14,2.50E+14,16.77657,0,,,114,60,,,,
1,2.50E+14,2.50E+14,16.776458,0,,,115,59,,,,
1,2.50E+14,2.50E+14,16.776404,0,,,116,60,,,,
1,2.50E+14,2.50E+14,16.776587,0,,,117,60,,,,
1,2.50E+14,2.50E+14,16.77641,0,,,118,59,,,,
2,2.50E+14,2.50E+14,16.77657,0,,,119,60,,,,
2,2.50E+14,2.50E+14,16.776556,0,,,120,59,,,,
2,2.50E+14,2.50E+14,16.776433,0,,,121,60,,,,
2,2.50E+14,2.50E+14,16.776419,0,,,122,60,,,,
2,2.50E+14,2.50E+14,16.77655,0,,,123,59,,,,
2,2.50E+14,2.50E+14,16.776432,0,,,124,60,,,,
2,2.50E+14,2.50E+14,16.776021,0,,,125,60,,,,
2,2.50E+14,2.50E+14,16.7763,0,,,126,59,,,,
2,2.50E+14,2.50E+14,16.776428,0,,,127,60,,,,
2,2.50E+14,2.50E+14,16.775985,0,,,128,59,,,,
2,2.50E+14,2.50E+14,16.774688,0,,,129,60,,,,
2,2.50E+14,2.50E+14,16.774232,0,,,130,60,,,,
2,2.50E+14,2.50E+14,16.775431,0,,,131,59,,,,
2,2.50E+14,2.50E+14,16.775842,0,,,132,60,,,,
2,2.50E+14,2.50E+14,16.774815,0,,,133,59,,,,
2,2.50E+14,2.50E+14,16.775721,0,,,134,60,,,,
2,2.50E+14,2.50E+14,16.775215,0,,,135,60,,,,
2,2.50E+14,2.50E+14,16.774881,0,,,136,59,,,,
2,2.50E+14,2.50E+14,16.775964,0,,,137,60,,,,
