Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS
274,1.25061E+14,1.25061E+14,16.780188,0,,,,,,
274,1.25061E+14,1.25061E+14,16.78015,0,,,,,,
274,1.25061E+14,1.25061E+14,16.780033,0,,,,,,
274,1.25061E+14,1.25061E+14,16.780298,0,,,,,,
274,1.25061E+14,1.25061E+14,16.779613,0,,,,,,
274,1.25061E+14,1.25061E+14,16.778673,0,,,,,,
274,1.25061E+14,1.25061E+14,16.780008,0,,,,,,
274,1.25061E+14,1.25061E+14,16.780732,0,,,,,,
274,1.25061E+14,1.25061E+14,16.780763,0,,,,,,
274,1.25061E+14,1.25062E+14,16.78027,0,,,,,,
274,1.25062E+14,1.25062E+14,16.779556,0,,,,,,
274,1.25062E+14,1.25062E+14,16.78044,0,,,,,,
274,1.25062E+14,1.25062E+14,16.780404,0,,,,,,
274,1.25062E+14,1.25062E+14,16.780368,0,,,,,,
274,1.25062E+14,1.25062E+14,16.780727,0,,,,,,
274,1.25062E+14,1.25062E+14,16.780621,0,,,,,,
274,1.25062E+14,1.25062E+14,16.779842,0,,,,,,
274,1.25062E+14,1.25062E+14,16.78042,0,,,,,,
274,1.25062E+14,1.25062E+14,16.780064,0,,,,,,
274,1.25062E+14,1.25062E+14,16.780451,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780426,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780728,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779925,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780157,0,,,,,,
275,1.25062E+14,1.25062E+14,16.78062,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780744,0,,,,,,
275,1.25062E+14,1.25062E+14,16.78022,0,,,,,,
275,1.25062E+14,1.25062E+14,16.78008,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779797,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780301,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780609,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780684,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780569,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780481,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780322,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780673,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780882,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780536,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780882,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780275,0,,,,,,
275,1.25062E+14,1.25062E+14,16.78028,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779283,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780205,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780285,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780576,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780158,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779669,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779197,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780117,0,,,,,,
275,1.25062E+14,1.25062E+14,16.78062,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780761,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780186,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779534,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779944,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780247,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779934,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780439,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779982,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779305,0,,,,,,
275,1.25062E+14,1.25062E+14,16.77907,0,,,,,,
275,1.25062E+14,1.25062E+14,16.78088,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780468,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780935,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779496,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779785,0,,,,,,
275,1.25062E+14,1.25062E+14,16.779976,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780373,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780557,0,,,,,,
275,1.25062E+14,1.25062E+14,16.780551,0,,,,,,
275,1.25062E+14,1.25063E+14,16.780171,0,,,,,,
275,1.25063E+14,1.25063E+14,16.779802,0,,,,,,
275,1.25063E+14,1.25063E+14,16.779115,0,,,,,,
275,1.25063E+14,1.25063E+14,16.780445,0,,,,,,
