Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class SEnd Time (ns),Class STime Elapsed (ms),Result,,Total Proc Time (ms),Avg Proc Time (ms),,Num,Classifications Per Second,Avg Class per Sec,,Total Classifications
19,1.66E+14,1.66E+14,99.19459317,,1.66E+14,70.643913,roses,,169.8385062,,,92,5,,,
19,1.66E+14,1.66E+14,99.18964617,,1.66E+14,73.709279,roses,,172.8989252,,,93,5,,,
19,1.66E+14,1.66E+14,100.5460522,,1.66E+14,74.291258,roses,,174.8373102,,,94,4,,,
19,1.66E+14,1.66E+14,99.60256217,,1.66E+14,74.580476,roses,,174.1830382,,,95,5,,,
19,1.66E+14,1.66E+14,97.99995817,,1.66E+14,77.929434,roses,,175.9293922,,,96,6,,,
20,1.66E+14,1.66E+14,99.86797917,,1.66E+14,73.508133,roses,,173.3761122,,,97,5,,,
20,1.66E+14,1.66E+14,100.4821462,,1.66E+14,74.183653,roses,,174.6657992,,,98,5,,,
20,1.66E+14,1.66E+14,99.89323917,,1.66E+14,68.397611,roses,,168.2908502,,,99,5,,,
20,1.66E+14,1.66E+14,106.3324592,,1.66E+14,76.769591,roses,,183.1020502,,,100,5,,,
20,1.66E+14,1.66E+14,99.83417617,,1.66E+14,85.155999,roses,,184.9901752,,,101,5,,,
21,1.66E+14,1.66E+14,115.9391782,,1.66E+14,81.186884,roses,,197.1260622,,,102,5,,,
21,1.66E+14,1.66E+14,98.42282217,,1.66E+14,70.418601,roses,,168.8414232,,,103,5,,,
21,1.66E+14,1.66E+14,104.9515212,,1.66E+14,72.352559,roses,,177.3040802,,,104,5,,,
21,1.66E+14,1.66E+14,98.95157217,,1.66E+14,72.234746,roses,,171.1863182,,,105,5,,,
21,1.66E+14,1.66E+14,105.1598542,,1.66E+14,71.27433,roses,,176.4341842,,,106,5,,,
22,1.66E+14,1.66E+14,99.13516617,,1.66E+14,76.991154,roses,,176.1263202,,,107,4,,,
22,1.66E+14,1.66E+14,98.55016617,,1.66E+14,73.237404,roses,,171.7875702,,,108,5,,,
22,1.66E+14,1.66E+14,103.5245412,,1.66E+14,70.439486,roses,,173.9640272,,,109,5,,,
