Timestamp,Attempt No,Time to Preprocess (millis),Time to Classify (millis),,,,
,1067,14,136,,,,150
,1072,19,136,,,,155
,1077,15,181,,,,196
,1083,38,172,,,,210
,1088,15,134,,,,149
,1094,13,140,,,,153
,1099,21,144,,,,165
,1104,15,145,,,,160
,1109,32,146,,,,178
,1114,28,139,,,,167
,1120,15,138,,,,153
,1125,14,136,,,,150
,1130,20,167,,,,187
,1134,26,142,,,,168
,1139,44,142,,,,186
,1144,30,136,,,,166
,1150,16,138,,,,154
,1155,30,140,,,,170
,1160,23,145,,,,168
,1165,26,139,,,,165
,1170,32,148,,,,180
,1175,14,174,,,,188
,1179,32,165,,,,197
,1185,41,151,,,,192
,1190,13,148,,,,161
,1195,34,145,,,,179
,1200,15,137,,,,152
,1205,15,149,,,,164
,1211,16,153,,,,169
,1216,15,136,,,,151
,1221,25,141,,,,166
,1227,17,155,,,,172
,1232,35,140,,,,175
,1237,22,138,,,,160
,1242,22,139,,,,161
,1247,43,149,,,,192
,1252,37,178,,,,215
,1257,29,151,,,,180
,1262,45,144,,,,189
,1267,23,143,,,,166
,1273,30,145,,,,175
,1278,27,139,,,,166
,1283,26,146,,,,172
,1288,15,133,,,,148
,1293,28,141,,,,169
,1298,29,142,,,,171
,1303,29,144,,,,173
,1308,23,139,,,,162
,1313,24,138,,,,162
,1319,14,134,,,,148
,1323,38,138,,,,176
,1329,27,137,,,,164
,1334,19,136,,,,155
,1338,33,147,,,,180
,1343,28,151,,,,179
,1349,33,139,,,,172
,1354,41,138,,,,179
,1359,13,190,,,,203
,1364,30,141,,,,171
,1369,39,142,,,,181
,1374,41,138,,,,179
,1379,22,143,,,,165
,1385,17,134,,,,151
,1390,13,144,,,,157
,1395,33,146,,,,179
,1399,27,139,,,,166
,1404,29,139,,,,168
,1410,42,151,,,,193
,1415,13,141,,,,154
,1421,14,159,,,,173
,1426,14,142,,,,156
,1431,13,139,,,,152
,1436,24,154,,,,178
,1441,41,142,,,,183
,1446,14,153,,,,167
,1451,24,141,,,,165
,1456,38,139,,,,177
,1461,35,140,,,,175
,1467,17,152,,,,169
,1471,14,170,,,,184
,1476,19,139,,,,158
,1481,21,143,,,,164
,1487,22,135,,,,157
,1492,25,136,,,,161
,1497,15,155,,,,170
,1502,21,144,,,,165
,1507,21,145,,,,166
,1512,41,158,,,,199
,1518,29,137,,,,166
,1522,29,149,,,,178
